data,forn,area,eta,m,f,d,N1,N2,ISTAT,reg
2023-09-29,Pfizer/BioNTech,VDA,60-69,1,2,3,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-29,Pfizer/BioNTech,VDA,70-79,1,0,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-30,Pfizer/BioNTech,TOS,60-69,2,0,2,ITI,ITI1,9,Toscana
2023-10-01,Pfizer Pediatrico,LOM,05-11,1,0,1,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,12-19,0,1,1,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,20-29,9,24,33,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,30-39,47,102,149,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,40-49,59,73,132,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,50-59,93,141,234,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,60-69,566,403,969,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,70-79,469,320,789,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,80-89,198,199,397,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,90+,22,45,67,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,MAR,60-69,1,0,1,ITI,ITI3,11,Marche
2023-10-02,Pfizer/BioNTech,CAM,40-49,2,0,2,ITF,ITF3,15,Campania
2023-10-02,Pfizer/BioNTech,CAM,50-59,1,1,2,ITF,ITF3,15,Campania
2023-10-02,Pfizer/BioNTech,EMR,80-89,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-10-02,Pfizer/BioNTech,FVG,40-49,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,50-59,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,60-69,5,1,6,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,70-79,8,6,14,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,80-89,2,3,5,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,90+,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,LAZ,30-39,2,3,5,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,40-49,1,1,2,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,50-59,0,1,1,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,60-69,3,5,8,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,70-79,1,0,1,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LOM,20-29,1,2,3,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,30-39,5,10,15,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,40-49,6,14,20,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,50-59,16,24,40,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,60-69,23,22,45,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,70-79,6,7,13,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,80-89,3,3,6,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,90+,3,0,3,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,TOS,12-19,1,0,1,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,30-39,1,2,3,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,40-49,5,4,9,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,50-59,12,6,18,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,60-69,60,42,102,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,70-79,63,46,109,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,80-89,16,15,31,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,90+,4,9,13,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,CAM,50-59,1,1,2,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,60-69,2,2,4,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,70-79,9,6,15,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,80-89,6,2,8,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,FVG,40-49,0,2,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,60-69,2,1,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,70-79,0,1,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,LAZ,20-29,2,2,4,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,30-39,1,3,4,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,40-49,2,4,6,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,50-59,4,7,11,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,60-69,12,5,17,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,70-79,4,3,7,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,80-89,2,4,6,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,90+,1,0,1,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LIG,20-29,3,3,6,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,30-39,3,4,7,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,40-49,2,1,3,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,50-59,1,2,3,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,60-69,4,4,8,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,70-79,0,2,2,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LIG,80-89,1,0,1,ITC,ITC3,7,Liguria
2023-10-03,Pfizer/BioNTech,LOM,20-29,3,9,12,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,30-39,2,10,12,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,40-49,4,13,17,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,50-59,13,19,32,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,60-69,27,22,49,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,70-79,14,13,27,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,80-89,11,4,15,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,LOM,90+,1,2,3,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,PUG,40-49,1,1,2,ITF,ITF4,16,Puglia
2023-10-03,Pfizer/BioNTech,PUG,50-59,1,0,1,ITF,ITF4,16,Puglia
2023-10-03,Pfizer/BioNTech,PUG,60-69,1,0,1,ITF,ITF4,16,Puglia
2023-10-03,Pfizer/BioNTech,PUG,70-79,4,2,6,ITF,ITF4,16,Puglia
2023-10-03,Pfizer/BioNTech,SAR,40-49,0,2,2,ITG,ITG2,20,Sardegna
2023-10-03,Pfizer/BioNTech,SAR,50-59,0,1,1,ITG,ITG2,20,Sardegna
2023-10-03,Pfizer/BioNTech,SAR,60-69,0,1,1,ITG,ITG2,20,Sardegna
2023-10-03,Pfizer/BioNTech,SAR,70-79,1,1,2,ITG,ITG2,20,Sardegna
2023-10-03,Pfizer/BioNTech,TOS,40-49,2,1,3,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,TOS,50-59,2,1,3,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,TOS,60-69,23,11,34,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,TOS,70-79,30,24,54,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,TOS,80-89,5,17,22,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,TOS,90+,2,14,16,ITI,ITI1,9,Toscana
2023-10-03,Pfizer/BioNTech,VEN,80-89,1,0,1,ITH,ITH3,5,Veneto
2023-10-04,Pfizer/BioNTech,CAM,40-49,1,0,1,ITF,ITF3,15,Campania
2023-10-04,Pfizer/BioNTech,CAM,60-69,5,3,8,ITF,ITF3,15,Campania
2023-10-04,Pfizer/BioNTech,CAM,70-79,8,6,14,ITF,ITF3,15,Campania
2023-10-04,Pfizer/BioNTech,CAM,80-89,6,1,7,ITF,ITF3,15,Campania
2023-10-04,Pfizer/BioNTech,FVG,20-29,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,30-39,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,40-49,2,2,4,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,50-59,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,60-69,8,5,13,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,70-79,10,7,17,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,FVG,80-89,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-04,Pfizer/BioNTech,LAZ,30-39,1,2,3,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LAZ,40-49,1,0,1,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LAZ,50-59,1,0,1,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LAZ,60-69,4,2,6,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LAZ,70-79,1,2,3,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LAZ,80-89,1,1,2,ITI,ITI4,12,Lazio
2023-10-04,Pfizer/BioNTech,LIG,50-59,2,0,2,ITC,ITC3,7,Liguria
2023-10-04,Pfizer/BioNTech,LIG,60-69,2,2,4,ITC,ITC3,7,Liguria
2023-10-04,Pfizer/BioNTech,LIG,80-89,0,3,3,ITC,ITC3,7,Liguria
2023-10-04,Pfizer/BioNTech,LIG,90+,0,3,3,ITC,ITC3,7,Liguria
2023-10-04,Pfizer/BioNTech,LOM,12-19,1,0,1,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,20-29,7,10,17,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,30-39,14,23,37,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,40-49,20,28,48,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,50-59,34,46,80,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,60-69,43,29,72,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,70-79,14,6,20,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,80-89,4,5,9,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,LOM,90+,1,2,3,ITC,ITC4,3,Lombardia
2023-10-04,Pfizer/BioNTech,PAT,40-49,1,0,1,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-04,Pfizer/BioNTech,PAT,50-59,1,3,4,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-04,Pfizer/BioNTech,PAT,60-69,4,1,5,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-04,Pfizer/BioNTech,PAT,70-79,1,0,1,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-04,Pfizer/BioNTech,PIE,12-19,1,0,1,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,PIE,20-29,0,1,1,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,PIE,50-59,2,0,2,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,PIE,60-69,5,3,8,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,PIE,70-79,3,2,5,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,PIE,80-89,3,0,3,ITC,ITC1,1,Piemonte
2023-10-04,Pfizer/BioNTech,SAR,20-29,0,1,1,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,30-39,1,2,3,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,40-49,1,2,3,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,50-59,1,3,4,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,60-69,3,3,6,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,70-79,3,2,5,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,SAR,80-89,1,1,2,ITG,ITG2,20,Sardegna
2023-10-04,Pfizer/BioNTech,TOS,12-19,0,1,1,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,20-29,0,1,1,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,30-39,2,2,4,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,40-49,5,1,6,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,50-59,7,3,10,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,60-69,51,30,81,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,70-79,68,59,127,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,80-89,19,18,37,ITI,ITI1,9,Toscana
2023-10-04,Pfizer/BioNTech,TOS,90+,1,6,7,ITI,ITI1,9,Toscana
2023-10-05,Pfizer Pediatrico,TOS,05-11,1,0,1,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,CAM,60-69,6,4,10,ITF,ITF3,15,Campania
2023-10-05,Pfizer/BioNTech,CAM,70-79,12,9,21,ITF,ITF3,15,Campania
2023-10-05,Pfizer/BioNTech,CAM,80-89,6,3,9,ITF,ITF3,15,Campania
2023-10-05,Pfizer/BioNTech,EMR,70-79,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-10-05,Pfizer/BioNTech,FVG,20-29,0,1,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,30-39,0,1,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,50-59,2,4,6,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,60-69,3,1,4,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,70-79,3,8,11,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,80-89,2,3,5,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,FVG,90+,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-05,Pfizer/BioNTech,LAZ,20-29,2,1,3,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,30-39,1,2,3,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,40-49,2,1,3,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,50-59,2,3,5,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,60-69,7,11,18,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,70-79,8,2,10,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,80-89,1,2,3,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LAZ,90+,1,1,2,ITI,ITI4,12,Lazio
2023-10-05,Pfizer/BioNTech,LIG,20-29,2,1,3,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,30-39,5,3,8,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,40-49,1,0,1,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,50-59,2,4,6,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,60-69,0,2,2,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,70-79,3,4,7,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,80-89,4,15,19,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LIG,90+,1,14,15,ITC,ITC3,7,Liguria
2023-10-05,Pfizer/BioNTech,LOM,20-29,6,15,21,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,30-39,25,36,61,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,40-49,29,28,57,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,50-59,49,32,81,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,60-69,49,36,85,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,70-79,24,18,42,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,80-89,8,5,13,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,LOM,90+,1,1,2,ITC,ITC4,3,Lombardia
2023-10-05,Pfizer/BioNTech,PIE,30-39,0,1,1,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,PIE,40-49,3,0,3,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,PIE,50-59,2,0,2,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,PIE,60-69,3,0,3,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,PIE,70-79,0,1,1,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,PIE,80-89,1,3,4,ITC,ITC1,1,Piemonte
2023-10-05,Pfizer/BioNTech,SAR,30-39,4,6,10,ITG,ITG2,20,Sardegna
2023-10-05,Pfizer/BioNTech,SAR,40-49,2,2,4,ITG,ITG2,20,Sardegna
2023-10-05,Pfizer/BioNTech,SAR,50-59,6,5,11,ITG,ITG2,20,Sardegna
2023-10-05,Pfizer/BioNTech,SAR,60-69,10,6,16,ITG,ITG2,20,Sardegna
2023-10-05,Pfizer/BioNTech,SAR,70-79,1,0,1,ITG,ITG2,20,Sardegna
2023-10-05,Pfizer/BioNTech,TOS,20-29,4,3,7,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,30-39,3,2,5,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,40-49,4,5,9,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,50-59,13,13,26,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,60-69,66,70,136,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,70-79,98,58,156,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,80-89,32,36,68,ITI,ITI1,9,Toscana
2023-10-05,Pfizer/BioNTech,TOS,90+,3,21,24,ITI,ITI1,9,Toscana
2023-10-06,Pfizer/BioNTech,CAM,30-39,1,0,1,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,40-49,1,0,1,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,50-59,1,0,1,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,60-69,2,1,3,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,70-79,7,6,13,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,80-89,3,5,8,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,CAM,90+,0,1,1,ITF,ITF3,15,Campania
2023-10-06,Pfizer/BioNTech,FVG,12-19,0,2,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,30-39,4,1,5,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,40-49,6,8,14,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,50-59,8,8,16,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,60-69,18,20,38,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,70-79,25,14,39,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,80-89,17,15,32,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,FVG,90+,3,2,5,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-06,Pfizer/BioNTech,LAZ,20-29,0,1,1,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,30-39,3,3,6,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,40-49,4,0,4,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,50-59,4,7,11,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,60-69,13,11,24,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,70-79,8,5,13,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,80-89,6,1,7,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LAZ,90+,2,1,3,ITI,ITI4,12,Lazio
2023-10-06,Pfizer/BioNTech,LIG,40-49,3,3,6,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LIG,50-59,2,4,6,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LIG,60-69,3,2,5,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LIG,70-79,5,5,10,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LIG,80-89,4,14,18,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LIG,90+,4,12,16,ITC,ITC3,7,Liguria
2023-10-06,Pfizer/BioNTech,LOM,20-29,1,2,3,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,30-39,10,31,41,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,40-49,15,22,37,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,50-59,25,34,59,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,60-69,27,32,59,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,70-79,12,11,23,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,80-89,8,8,16,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,LOM,90+,1,1,2,ITC,ITC4,3,Lombardia
2023-10-06,Pfizer/BioNTech,PIE,60-69,5,5,10,ITC,ITC1,1,Piemonte
2023-10-06,Pfizer/BioNTech,PIE,70-79,8,4,12,ITC,ITC1,1,Piemonte
2023-10-06,Pfizer/BioNTech,PIE,80-89,4,4,8,ITC,ITC1,1,Piemonte
2023-10-06,Pfizer/BioNTech,PIE,90+,1,0,1,ITC,ITC1,1,Piemonte
2023-10-06,Pfizer/BioNTech,PUG,60-69,4,2,6,ITF,ITF4,16,Puglia
2023-10-06,Pfizer/BioNTech,PUG,70-79,2,2,4,ITF,ITF4,16,Puglia
2023-10-06,Pfizer/BioNTech,PUG,80-89,2,1,3,ITF,ITF4,16,Puglia
2023-10-06,Pfizer/BioNTech,SAR,20-29,1,0,1,ITG,ITG2,20,Sardegna
2023-10-06,Pfizer/BioNTech,SAR,30-39,2,7,9,ITG,ITG2,20,Sardegna
2023-10-06,Pfizer/BioNTech,SAR,40-49,2,3,5,ITG,ITG2,20,Sardegna
